2020-10-28 19:22:23,327 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-10-28 19:22:23,379 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-10-28 19:22:23,380 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-10-28 19:22:23,380 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-10-28 19:22:23,389 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-10-28 19:22:23,389 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-10-28 19:22:23,400 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-10-31 19:13:19,015 INFO  SwAddin.cs: 271 - Assembly export called for file soft hybrid gripper
2020-10-31 19:13:20,576 INFO  SwAddin.cs: 290 - Saving assembly
2020-10-31 19:13:20,776 INFO  SwAddin.cs: 293 - Opening property manager
2020-10-31 19:13:20,793 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from soft hybrid gripper
2020-10-31 19:13:20,799 INFO  ExportHelperExtension.cs: 1142 - Found 47 in soft hybrid gripper
2020-10-31 19:13:20,799 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in soft hybrid gripper
2020-10-31 19:13:20,800 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-31 19:13:20,802 INFO  ExportHelperExtension.cs: 1167 - 7 components to check
2020-10-31 19:13:20,803 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from hybridfixture-1
2020-10-31 19:13:20,804 INFO  ExportHelperExtension.cs: 1142 - Found 42 in hybridfixture-1
2020-10-31 19:13:20,804 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in hybridfixture-1
2020-10-31 19:13:20,804 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from finger_proto_4.2-1
2020-10-31 19:13:20,805 INFO  ExportHelperExtension.cs: 1142 - Found 65 in finger_proto_4.2-1
2020-10-31 19:13:20,805 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in finger_proto_4.2-1
2020-10-31 19:13:20,805 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from linkag_3-1
2020-10-31 19:13:20,806 INFO  ExportHelperExtension.cs: 1142 - Found 45 in linkag_3-1
2020-10-31 19:13:20,806 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in linkag_3-1
2020-10-31 19:13:20,806 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from hybrid-finger-1
2020-10-31 19:13:20,807 INFO  ExportHelperExtension.cs: 1142 - Found 35 in hybrid-finger-1
2020-10-31 19:13:20,807 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in hybrid-finger-1
2020-10-31 19:13:20,807 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from servo hub-3
